data_hora,demanda,previsao_sarima,residuo_sarima
2012-09-17,6869,7486.740920934575,-617.7409209345751
2012-09-18,4073,7571.036681279898,-3498.0366812798984
2012-09-19,7591,7587.66298718673,3.337012813270121
2012-10-01,6778,7572.316394943266,-794.3163949432655
2012-10-02,4639,7590.249756204539,-2951.249756204539
2012-10-03,7572,7617.640288142996,-45.640288142995814
2012-10-04,7328,7573.755888140813,-245.7558881408131
2012-10-05,8156,7571.748212378758,584.2517876212423
2012-10-06,7965,7589.980653472643,375.0193465273569
2012-10-07,3510,7592.6977694810375,-4082.6977694810375
2012-10-08,5478,7585.376045526186,-2107.3760455261863
2012-10-09,6392,7592.470600242317,-1200.4706002423172
2012-10-10,7691,7603.63630991527,87.36369008472957
2012-10-11,7570,7585.626654199401,-15.626654199400946
2012-10-12,7282,7584.799382437041,-302.79938243704055
2012-10-13,7109,7592.273972917617,-483.27397291761736
2012-10-14,6639,7593.387779842728,-954.3877798427284
2012-10-15,5875,7590.38568121834,-1715.3856812183403
2012-10-16,7534,7593.294555538194,-59.29455553819389
2012-10-17,7461,7597.872686221172,-136.87268622117244
2012-10-18,7509,7590.488413770076,-81.48841377007557
2012-10-19,5424,7590.149217731862,-2166.1492177318623
2012-11-01,5986,7593.21392949653,-1607.21392949653
2012-11-02,5847,7593.670609651326,-1746.6706096513262
2012-11-03,5138,7592.439697105547,-2454.4396971055467
2012-11-04,5107,7593.632386063334,-2486.632386063334
2012-11-05,5259,7595.5094991030965,-2336.5094991030965
2012-11-06,5686,7592.481819233485,-1906.481819233485
2012-11-07,5035,7592.34274297057,-2557.34274297057
2012-11-08,5315,7593.599327986531,-2278.5993279865306
2012-11-09,5992,7593.786574776333,-1601.7865747763326
2012-11-10,6536,7593.281879268317,-1057.2818792683174
2012-11-11,6852,7593.770902441831,-741.7709024418309
2012-11-12,6269,7594.540551368112,-1325.5405513681117
2012-11-13,4094,7593.299150071862,-3499.2991500718617
2012-11-14,5495,7593.242126390199,-2098.242126390199
2012-11-15,5445,7593.757348056571,-2148.7573480565707
2012-11-16,5698,7593.834122490325,-1895.8341224903252
2012-11-17,5629,7593.627188572327,-1964.6271885723272
2012-11-18,4669,7593.827696561163,-2924.827696561163
2012-11-19,5499,7594.143265979295,-2095.1432659792954
2012-12-01,5191,7593.63426990154,-2402.6342699015404
2012-12-02,4649,7593.610889202331,-2944.6108892023312
2012-12-03,6234,7593.822139027951,-1359.8221390279514
2012-12-04,6606,7593.853617878321,-987.8536178783206
2012-12-05,5729,7593.768771380308,-1864.768771380308
2012-12-06,5375,7593.850983135833,-2218.8509831358333
2012-12-07,5008,7593.980372074426,-2585.9803720744258
2012-12-08,5582,7593.771674848192,-2011.7716748481917
2012-12-09,3228,7593.76208835571,-4365.76208835571
2012-12-10,5170,7593.848704450757,-2423.8487044507574
2012-12-11,5501,7593.861611325769,-2092.8616113257694
2012-12-12,5319,7593.826822788952,-2274.826822788952
2012-12-13,5532,7593.86053103562,-2061.8605310356197
2012-12-14,5611,7593.913582746172,-1982.9135827461723
2012-12-15,5047,7593.828013261178,-2546.828013261178
2012-12-16,3786,7593.824082632874,-3807.824082632874
2012-12-17,4585,7593.859596735189,-3008.8595967351894
2012-12-18,5557,7593.864888777962,-2036.8648887779618
2012-12-19,5267,7593.850624874062,-2326.8506248740623
