data_hora,observado,tendencia,sazonalidade,residuo
2011-01-01,985.0,,161.89729689952912,
2011-01-02,801.0,,-71.77904238618522,
2011-01-03,1349.0,,1.1807790423862363,
2011-01-04,1562.0,1344.7142857142856,90.13847135007843,127.14724293563602
2011-01-05,1600.0,1341.0,8.712097723704803,250.2879022762952
2011-01-06,1606.0,1343.9999999999998,-166.46654238618524,428.46654238618544
2011-01-07,1510.0,1339.9999999999998,-23.68306024332811,193.68306024332833
2011-01-08,959.0,1297.2857142857142,161.89729689952912,-500.18301118524334
2011-01-09,822.0,1234.7142857142856,-71.77904238618522,-340.93524332810034
2011-01-10,1321.0,1206.142857142857,1.1807790423862363,113.67636381475666
2011-01-11,1263.0,1193.4285714285713,90.13847135007843,-20.567042778649764
2011-01-12,1162.0,1234.7142857142856,8.712097723704803,-81.42638343799035
2011-01-13,1406.0,1289.2857142857142,-166.46654238618524,283.180828100471
2011-01-14,1421.0,1243.4285714285713,-23.68306024332811,201.25448881475677
2011-01-15,1248.0,1160.5714285714287,161.89729689952912,-74.46872547095779
2011-01-16,1204.0,1230.2857142857142,-71.77904238618522,45.493328100471004
2011-01-17,1000.0,1223.7142857142856,1.1807790423862363,-224.8950647566718
2011-01-18,683.0,1238.7142857142856,90.13847135007843,-645.852757064364
2011-01-19,1650.0,1281.8571428571427,8.712097723704803,359.43075941915254
2011-02-01,1360.0,1353.8571428571427,-166.46654238618524,172.60939952904258
2011-02-02,1526.0,1354.5714285714284,-23.68306024332811,195.11163167189966
2011-02-03,1550.0,1488.857142857143,161.89729689952912,-100.75443975667201
2011-02-04,1708.0,1497.7142857142858,-71.77904238618522,282.06475667189943
2011-02-05,1005.0,1522.0,1.1807790423862363,-518.1807790423862
2011-02-06,1623.0,1533.2857142857142,90.13847135007843,-0.42418563579265367
2011-02-07,1712.0,1531.5714285714284,8.712097723704803,171.71647370486676
2011-02-08,1530.0,1537.0,-166.46654238618524,159.46654238618524
2011-02-09,1605.0,1603.7142857142856,-23.68306024332811,24.96877452904256
2011-02-10,1538.0,1598.8571428571427,161.89729689952912,-222.7544397566718
2011-02-11,1746.0,1627.5714285714284,-71.77904238618522,190.20761381475677
2011-02-12,1472.0,1668.2857142857142,1.1807790423862363,-197.46649332810046
2011-02-13,1589.0,1741.1428571428569,90.13847135007843,-242.2813284929353
2011-02-14,1913.0,1875.0,8.712097723704803,29.2879022762952
2011-02-15,1815.0,2043.7142857142856,-166.46654238618524,-62.24774332810031
2011-02-16,2115.0,2067.0,-23.68306024332811,71.68306024332811
2011-02-17,2475.0,2104.4285714285716,161.89729689952912,208.67413167189932
2011-02-18,2927.0,2135.9999999999995,-71.77904238618522,862.7790423861857
2011-02-19,1635.0,2117.428571428571,1.1807790423862363,-483.60935047095734
2011-03-01,1851.0,2093.0,90.13847135007843,-332.1384713500784
2011-03-02,2134.0,2036.1428571428573,8.712097723704803,89.14504513343786
2011-03-03,1685.0,1704.4285714285713,-166.46654238618524,147.0379709576139
2011-03-04,1944.0,1738.285714285714,-23.68306024332811,229.3973459576141
2011-03-05,2077.0,1778.5714285714284,161.89729689952912,136.53127452904243
2011-03-06,605.0,1743.857142857143,-71.77904238618522,-1067.0781004709577
2011-03-07,1872.0,1592.142857142857,1.1807790423862363,278.67636381475666
2011-03-08,2133.0,1596.8571428571427,90.13847135007843,446.0043857927789
2011-03-09,1891.0,1604.7142857142858,8.712097723704803,277.5736165620094
2011-03-10,623.0,1863.5714285714284,-166.46654238618524,-1074.1048861852432
