data_hora,demanda_real,previsao_baseline,previsao_arima,previsao_sarima,previsao_sarimax
2012-09-17,6869,7333,7486.108513275222,7486.740920934575,6900.850095828741
2012-09-18,4073,7333,7524.392857950349,7571.036681279898,6227.377995116953
2012-09-19,7591,7333,7533.965748548335,7587.66298718673,7208.9638560176845
2012-10-01,6778,7333,7536.359422390179,7572.316394943266,7145.538681416956
2012-10-02,4639,7333,7536.957953669993,7590.249756204539,6900.933921663682
2012-10-03,7572,7333,7537.107614700102,7617.640288142996,7336.5075421818765
2012-10-04,7328,7333,7537.145037011498,7573.755888140813,7437.537162943297
2012-10-05,8156,7333,7537.154394353147,7571.748212378758,7658.769269961762
2012-10-06,7965,7333,7537.156734129592,7589.980653472643,6964.778004146168
2012-10-07,3510,7333,7537.1573191839825,7592.697769481037,6379.3644124039365
2012-10-08,5478,7333,7537.157465475155,7585.376045526186,6243.48771001398
2012-10-09,6392,7333,7537.157502054843,7592.470600242317,6431.820795590351
2012-10-10,7691,7333,7537.157511201489,7603.63630991527,6903.872790440214
2012-10-11,7570,7333,7537.157513488582,7585.626654199401,7144.9723876128855
2012-10-12,7282,7333,7537.157514060463,7584.799382437041,6871.667407906113
2012-10-13,7109,7333,7537.15751420346,7592.273972917617,7195.117151659467
2012-10-14,6639,7333,7537.157514239216,7593.387779842728,6515.000792267047
2012-10-15,5875,7333,7537.157514248156,7590.38568121834,6506.230529781948
2012-10-16,7534,7333,7537.157514250392,7593.294555538194,7070.317371632486
2012-10-17,7461,7333,7537.157514250951,7597.872686221172,6792.666836740574
2012-10-18,7509,7333,7537.157514251091,7590.488413770076,6602.354747632112
2012-10-19,5424,7333,7537.157514251126,7590.149217731862,6899.350106058711
2012-11-01,5986,7333,7537.157514251135,7593.21392949653,6660.0476205879095
2012-11-02,5847,7333,7537.157514251136,7593.670609651326,6520.997527933201
2012-11-03,5138,7333,7537.157514251137,7592.439697105547,6621.597979425665
2012-11-04,5107,7333,7537.157514251137,7593.632386063334,6388.3453520351
2012-11-05,5259,7333,7537.157514251137,7595.509499103096,6356.106463654556
2012-11-06,5686,7333,7537.157514251137,7592.481819233485,6385.241190495581
2012-11-07,5035,7333,7537.157514251137,7592.34274297057,5946.2555223767795
2012-11-08,5315,7333,7537.157514251137,7593.599327986531,6665.253078296625
2012-11-09,5992,7333,7537.157514251137,7593.786574776333,6645.647263796283
2012-11-10,6536,7333,7537.157514251137,7593.281879268317,7060.017231583358
2012-11-11,6852,7333,7537.157514251137,7593.770902441831,6564.896727008681
2012-11-12,6269,7333,7537.157514251137,7594.540551368112,6571.9565410271625
2012-11-13,4094,7333,7537.157514251137,7593.299150071862,5833.068651286081
2012-11-14,5495,7333,7537.157514251137,7593.242126390199,6241.126982492704
2012-11-15,5445,7333,7537.157514251137,7593.757348056571,6406.224608091904
2012-11-16,5698,7333,7537.157514251137,7593.834122490325,6767.347093682408
2012-11-17,5629,7333,7537.157514251137,7593.627188572327,6709.491718920295
2012-11-18,4669,7333,7537.157514251137,7593.827696561163,5875.313810587823
2012-11-19,5499,7333,7537.157514251137,7594.143265979295,6257.463449719845
2012-12-01,5191,7333,7537.157514251137,7593.63426990154,6309.184846415406
2012-12-02,4649,7333,7537.157514251137,7593.610889202331,5883.471128564714
2012-12-03,6234,7333,7537.157514251137,7593.822139027951,6618.209002528937
2012-12-04,6606,7333,7537.157514251137,7593.853617878321,6664.4042767726105
2012-12-05,5729,7333,7537.157514251137,7593.768771380308,6590.971857440962
2012-12-06,5375,7333,7537.157514251137,7593.850983135833,6387.08295049553
2012-12-07,5008,7333,7537.157514251137,7593.980372074426,6171.966358679492
2012-12-08,5582,7333,7537.157514251137,7593.771674848192,6207.461406836323
2012-12-09,3228,7333,7537.157514251137,7593.76208835571,5696.91986635539
2012-12-10,5170,7333,7537.157514251137,7593.848704450757,5813.604655656173
2012-12-11,5501,7333,7537.157514251137,7593.861611325769,6188.794485410512
2012-12-12,5319,7333,7537.157514251137,7593.826822788952,6427.400602214637
2012-12-13,5532,7333,7537.157514251137,7593.86053103562,6593.456165469437
2012-12-14,5611,7333,7537.157514251137,7593.913582746172,6353.868902516103
2012-12-15,5047,7333,7537.157514251137,7593.828013261178,6667.986767520727
2012-12-16,3786,7333,7537.157514251137,7593.824082632874,5966.121156359277
2012-12-17,4585,7333,7537.157514251137,7593.859596735189,5990.833634879274
2012-12-18,5557,7333,7537.157514251137,7593.864888777962,6461.827094944407
2012-12-19,5267,7333,7537.157514251137,7593.850624874062,6275.884845432012
